t_ms,ax,ay,az,steps
19968,-15,-22,-1021,0
20009,-16,-20,-1022,0
20050,-15,-23,-1020,0
20091,-15,-22,-1020,0
20132,-16,-21,-1020,0
20173,-15,-22,-1020,0
20214,-16,-20,-1021,0
20256,-15,-23,-1021,0
20297,-16,-22,-1020,0
20338,-15,-21,-1020,0
20379,-16,-21,-1020,0
20421,-15,-21,-1020,0
20462,-16,-22,-1020,0
20504,-16,-22,-1020,0
20545,-15,-22,-1020,0
20586,-16,-22,-1020,0
20627,-15,-22,-1020,0
20669,-16,-21,-1021,0
20710,-16,-23,-1019,0
20751,-15,-22,-1020,0
20792,-16,-21,-1021,0
20833,-16,-22,-1020,0
20875,-15,-22,-1020,0
20916,-17,-21,-1020,0
20957,-15,-22,-1019,0
20998,-16,-22,-1020,0
21039,-16,-21,-1021,0
21081,-14,-22,-1021,0
21122,-16,-20,-1021,0
21163,-16,-22,-1019,0
21204,-16,-21,-1020,0
21245,-16,-21,-1021,0
21287,-15,-22,-1021,0
21328,-16,-20,-1021,0
21369,-15,-22,-1020,0
21410,-15,-23,-1020,0
21451,-16,-22,-1020,0
21493,-17,-21,-1020,0
21534,-16,-21,-1020,0
21575,-16,-21,-1020,0
21616,-17,-21,-1021,0
21657,-15,-21,-1021,0
21698,-16,-22,-1021,0
21739,-16,-20,-1020,0
21780,-14,-22,-1019,0
21821,-16,-22,-1020,0
21862,-16,-23,-1020,0
21903,-15,-22,-1020,0
21944,-19,-21,-1020,0
21985,-15,-23,-1021,0
22026,-15,-21,-1021,0
22067,-17,-21,-1021,0
22108,-15,-21,-1021,0
22149,-15,-22,-1019,0
22190,-16,-21,-1021,0
22231,-14,-22,-1020,0
22272,-17,-21,-1020,0
22313,-15,-22,-1021,0
22354,-14,-21,-1020,0
22395,-17,-23,-1020,0
22436,-15,-21,-1020,0
22477,-16,-20,-1020,0
22518,-17,-22,-1020,0
22559,-14,-21,-1020,0
22601,-16,-22,-1021,0
22642,-16,-22,-1022,0
22683,-15,-22,-1019,0
22724,-16,-21,-1020,0
22765,-15,-21,-1021,0
22807,-15,-22,-1020,0
22848,-17,-21,-1020,0
22889,-15,-23,-1019,0
22930,-16,-21,-1019,0
22971,-16,-21,-1022,0
23013,-14,-21,-1020,0
23054,-17,-21,-1019,0
23095,-15,-23,-1019,0
23136,-15,-22,-1019,0
23177,-16,-22,-1020,0
23222,-16,-21,-1020,0
23263,-15,-22,-1020,0
23304,-16,-20,-1020,0
23345,-16,-23,-1019,0
23386,-15,-21,-1020,0
23427,-17,-21,-1020,0
23468,-16,-22,-1021,0
23509,-15,-21,-1020,0
23550,-17,-21,-1019,0
23591,-14,-21,-1020,0
23632,-16,-20,-1021,0
23673,-17,-22,-1020,0
23714,-15,-22,-1021,0
23755,-17,-22,-1019,0
23796,-16,-21,-1020,0
23837,-15,-21,-1020,0
23878,-16,-21,-1021,0
23919,-16,-21,-1021,0
23960,-14,-21,-1022,0
24002,-17,-22,-1020,0
24043,-15,-21,-1021,0
24084,-16,-20,-1020,0
24125,-18,-22,-1021,0
24166,-15,-21,-1020,0
24208,-16,-22,-1022,0
24249,-16,-21,-1019,0
24290,-15,-21,-1019,0
24331,-16,-21,-1020,0
24372,-15,-22,-1020,0
24414,-15,-21,-1021,0
24455,-17,-22,-1021,0
24496,-15,-21,-1020,0
24537,-15,-22,-1020,0
24578,-16,-21,-1022,0
24620,-15,-21,-1020,0
24661,-15,-23,-1019,0
24702,-16,-21,-1020,0
24743,-14,-20,-1020,0
24784,-15,-21,-1020,0
24826,-16,-21,-1021,0
24867,-16,-22,-1020,0
24908,-16,-22,-1019,0
24949,-15,-20,-1020,0
24990,-17,-22,-1018,0
25031,-14,-20,-1022,0
25072,-16,-23,-1019,0
25113,-15,-22,-1019,0
25154,-16,-19,-1021,0
25195,-13,-22,-1020,0
25236,-17,-21,-1020,0
25277,-15,-20,-1020,0
25318,-14,-23,-1020,0
25359,-16,-22,-1021,0
25400,-15,-22,-1019,0
25441,-13,-21,-1019,0
25482,-17,-20,-1020,0
25523,-15,-20,-1020,0
25564,-15,-20,-1020,0
25605,-16,-22,-1022,0
25646,-15,-22,-1019,0
25687,-14,-22,-1020,0
25728,-16,-21,-1020,0
25769,-14,-22,-1021,0
25810,-14,-20,-1020,0
25851,-17,-22,-1020,0
25892,-13,-20,-1020,0
25933,-16,-23,-1020,0
25974,-16,-20,-1021,0
26015,-14,-22,-1018,0
26056,-15,-20,-1021,0
26097,-16,-21,-1018,0
26138,-13,-22,-1021,0
26179,-18,-21,-1019,0
26220,-14,-22,-1020,0
26261,-16,-20,-1021,0
26303,-16,-22,-1020,0
26344,-14,-22,-1020,0
26385,-15,-21,-1020,0
26426,-15,-21,-1019,0
26467,-13,-22,-1021,0
26509,-14,-19,-1023,0
26550,-17,-24,-1019,0
26591,-13,-24,-1019,0
26632,-16,-21,-1021,0
26673,-14,-19,-1020,0
26715,-14,-24,-1020,0
26756,-17,-22,-1022,0
26797,-15,-23,-1018,0
26838,-15,-22,-1021,0
26879,-17,-20,-1021,0
26921,-14,-25,-1020,0
26962,-16,-20,-1022,0
27003,-14,-20,-1019,0
27044,-14,-22,-1021,0
27085,-16,-21,-1020,0
27127,-14,-23,-1020,0
27168,-15,-22,-1020,0
27209,-14,-21,-1020,0
27250,-15,-20,-1020,0
27291,-15,-21,-1020,0
27333,-16,-22,-1020,0
27374,-16,-24,-1019,0
27416,-15,-21,-1021,0
27457,-16,-22,-1019,0
27498,-14,-20,-1021,0
27540,-15,-23,-1020,0
